date,open,high,low,close,volume
2019-01-02,609.98,612.0,595.01,598.98,62286
2019-01-03,599.97,601.66,585.8,590.0,30977
2019-01-04,587.28,607.67,582.02,602.0,37683
2019-01-07,608.0,612.0,602.22,605.49,34750
2019-01-08,605.5,612.0,600.28,604.79,28838
2019-01-09,609.99,626.16,609.04,616.12,49892
2019-01-10,617.13,624.88,610.25,618.77,29044
2019-01-11,625.0,637.0,618.75,635.88,38884
2019-01-14,633.0,635.89,621.55,624.6,25649
2019-01-15,627.86,661.5,625.0,659.98,55765
2019-01-16,658.0,665.65,653.6,661.1,42084
2019-01-17,663.0,669.7,655.8,659.25,30285
2019-01-18,665.0,690.2,661.5,683.61,68609
2019-01-21,690.0,698.88,681.88,686.98,47052
2019-01-22,686.0,686.0,665.22,671.0,42122
2019-01-23,667.22,674.5,663.13,665.66,33625
2019-01-24,670.3,677.83,664.68,672.5,29155
2019-01-25,675.88,684.9,669.93,679.7,28986
2019-01-28,684.0,693.98,676.03,677.0,36103
2019-01-29,677.5,688.0,668.0,685.0,30343
2019-01-30,684.99,686.22,676.0,676.0,22700
2019-01-31,680.0,689.6,677.56,689.6,36697
2019-02-01,697.04,699.0,689.61,692.67,30521
2019-02-11,695.0,729.5,688.18,725.3,58141
2019-02-12,723.0,725.49,715.2,717.92,35091
2019-02-13,723.0,736.16,717.22,735.25,35677
2019-02-14,731.2,743.66,730.14,737.16,32258
2019-02-15,734.88,734.88,723.02,724.78,23238
2019-02-18,731.0,744.95,731.0,740.0,37746
2019-02-19,740.96,742.5,726.66,730.76,29502
2019-02-20,735.0,735.0,716.06,722.0,37882
2019-02-21,720.0,730.48,717.0,720.25,29850
2019-02-22,717.0,728.49,714.1,726.01,25909
2019-02-25,730.75,744.44,717.99,742.33,82623
2019-02-26,747.8,749.18,726.0,727.35,57965
2019-02-27,733.0,758.02,731.0,740.7,65942
2019-02-28,737.9,763.42,736.95,755.01,56986
2019-03-01,761.5,790.0,761.0,789.3,63840
2019-03-04,795.0,798.33,777.22,781.86,84586
2019-03-05,785.0,789.55,775.88,779.78,44831
2019-03-06,775.0,779.5,765.88,768.0,46731
2019-03-07,762.22,762.22,745.56,748.6,60181
2019-03-08,737.9,746.83,733.65,737.5,52275
2019-03-11,740.04,766.95,740.04,758.54,53057
2019-03-12,763.82,763.83,739.0,745.01,52510
2019-03-13,745.5,760.75,745.5,754.0,40561
2019-03-14,757.0,785.0,754.0,778.0,62173
2019-03-15,776.0,787.5,764.85,777.3,52401
2019-03-18,778.8,814.53,777.0,810.09,81319
2019-03-19,803.0,807.92,792.3,792.61,40635
2019-03-20,790.0,802.3,785.0,792.8,31118
2019-03-21,788.0,792.8,781.5,785.75,32573
2019-03-22,788.22,799.98,785.0,794.0,30518
2019-03-25,786.0,788.0,773.3,775.6,37270
2019-03-26,780.0,785.94,764.1,773.0,37596
2019-03-27,781.0,793.88,775.0,788.5,42807
2019-03-28,793.43,814.48,785.68,806.8,57567
2019-03-29,835.0,866.68,830.17,853.99,90934
2019-04-01,860.0,868.95,851.0,859.0,60935
2019-04-02,859.99,859.99,836.06,850.0,53227
2019-04-03,840.12,851.74,834.21,844.5,43057
2019-04-04,840.0,865.8,836.2,865.0,55772
2019-04-08,900.0,908.0,890.12,900.2,66252
2019-04-09,903.0,908.2,892.51,905.0,47990
2019-04-10,903.0,951.9,900.0,947.99,67814
2019-04-11,948.0,950.0,905.55,925.2,61103
2019-04-12,909.0,919.99,900.01,914.0,48612
2019-04-15,931.0,939.0,907.0,907.0,45523
2019-04-16,904.9,939.9,901.22,939.9,46423
2019-04-17,938.0,955.51,925.0,952.0,40761
2019-04-18,945.41,954.68,936.22,945.5,19599
2019-04-19,943.96,960.95,931.31,952.56,32380
2019-04-22,959.5,978.89,940.61,949.2,40628
2019-04-23,951.0,981.22,949.2,974.95,48852
2019-04-24,979.88,990.0,951.22,970.0,45227
2019-04-25,968.79,973.99,951.22,952.37,39801
2019-04-26,946.3,959.88,945.0,945.0,43278
2019-04-29,945.0,989.0,935.0,971.97,52572
2019-04-30,968.0,984.96,963.11,974.0,35943
2019-05-06,925.5,935.0,893.0,906.0,135100
2019-05-07,893.28,913.94,870.22,890.0,100837
2019-05-08,860.0,901.8,860.0,884.4,81883
2019-05-09,875.0,879.87,842.5,858.81,91545
2019-05-10,875.66,910.78,868.19,907.12,79907
2019-05-13,898.86,910.98,884.0,892.0,46637
2019-05-14,885.0,906.0,873.0,886.57,59983
2019-05-15,890.24,933.0,890.24,927.0,63124
2019-05-16,919.0,932.0,905.0,929.91,44540
2019-05-17,927.02,932.3,900.1,906.79,49842
